GEOID,NAMELSAD,population,tract_area_sq_mi,light_duty_vehicles_population_weighted,ev_vehicles_population_weighted,evse_per_1000_light_duty_vehicles_population_weighted,is_benchmark_20to100,is_above_standard_gt100,is_below_standard_lt20,application_group,predicted_target_evse_count,current_total_evse,planning_gap_evse_non_benchmark_only,planning_gap_bin,gap_map_class,benchmark_map_class
06019008600,Census Tract 86,3880,28.67,2622.87,28.61,1.14,False,False,True,below_standard_gap_application,72.0,3.0,69.0,51-100,Gap 51-100 EVSE,"1-5 EVSE / 1,000 vehicles"
06019003811,Census Tract 38.11,8535,2.75,5940.15,166.02,0.0,False,False,True,below_standard_gap_application,217.0,0.0,217.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06019004217,Census Tract 42.17,3209,0.94,2263.18,51.56,1.33,False,False,True,below_standard_gap_application,64.0,3.0,61.0,51-100,Gap 51-100 EVSE,"1-5 EVSE / 1,000 vehicles"
06019003812,Census Tract 38.12,4124,7.52,2751.83,127.79,0.73,False,False,True,below_standard_gap_application,76.0,2.0,74.0,51-100,Gap 51-100 EVSE,"0-1 EVSE / 1,000 vehicles"
06019004705,Census Tract 47.05,2142,0.32,1173.04,14.73,0.0,False,False,True,below_standard_gap_application,44.0,0.0,44.0,26-50,Gap 26-50 EVSE,"0 EVSE / 1,000 vehicles"
06019004706,Census Tract 47.06,5799,0.4,3175.75,39.88,0.0,False,False,True,below_standard_gap_application,87.0,0.0,87.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06019004006,Census Tract 40.06,3779,4.98,2713.96,33.86,0.0,False,False,True,below_standard_gap_application,74.0,0.0,74.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06019000701,Census Tract 7.01,2593,0.5,1754.01,16.02,0.0,False,False,True,below_standard_gap_application,54.0,0.0,54.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06019000702,Census Tract 7.02,1310,2.7,883.22,8.09,0.0,False,False,True,below_standard_gap_application,40.0,0.0,40.0,26-50,Gap 26-50 EVSE,"0 EVSE / 1,000 vehicles"
06019000601,Census Tract 6.01,4214,0.45,2192.77,30.21,0.0,False,False,True,below_standard_gap_application,63.0,0.0,63.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06051000102,Census Tract 1.02,2402,1452.2,2247.0,30.0,6.68,False,False,True,below_standard_gap_application,63.0,15.0,48.0,26-50,Gap 26-50 EVSE,"5-10 EVSE / 1,000 vehicles"
06051000101,Census Tract 1.01,3532,1613.14,2995.36,49.21,0.0,False,False,True,below_standard_gap_application,81.0,0.0,81.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06061022200,Census Tract 222,839,9.3,1575.89,55.52,8.88,False,False,True,below_standard_gap_application,50.0,14.0,36.0,26-50,Gap 26-50 EVSE,"5-10 EVSE / 1,000 vehicles"
06061023800,Census Tract 238,2964,3.06,2134.06,126.3,0.0,False,False,True,below_standard_gap_application,62.0,0.0,62.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06061022600,Census Tract 226,4773,1.17,3735.25,166.09,9.1,False,False,True,below_standard_gap_application,105.0,34.0,71.0,51-100,Gap 51-100 EVSE,"5-10 EVSE / 1,000 vehicles"
06061023400,Census Tract 234,6160,6.61,4435.16,262.48,0.9,False,False,True,below_standard_gap_application,134.0,4.0,130.0,101-250,Gap 101-250 EVSE,"0-1 EVSE / 1,000 vehicles"
06061023700,Census Tract 237,3121,1.79,2247.1,132.99,0.0,False,False,True,below_standard_gap_application,64.0,0.0,64.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037135201,Census Tract 1352.01,2861,0.59,2237.86,293.45,0.45,False,False,True,below_standard_gap_application,65.0,1.0,64.0,51-100,Gap 51-100 EVSE,"0-1 EVSE / 1,000 vehicles"
06037119400,Census Tract 1194,4712,0.43,3468.66,83.84,0.0,False,False,True,below_standard_gap_application,95.0,0.0,95.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
