zip_code,ev_vehicles,zev_vehicles,light_duty_vehicles,ev_share_light_duty,zcta_area_sq_mi,zcta_population
92342,163,163,4951,0.03292264189052717,98.96831526106718,7606.0
93245,406,409,23271,0.0174466073653904,118.89176358479406,37971.0
91030,2247,2269,17718,0.12682018286488317,3.4450390107131095,26068.0
98029,4,4,35,0.11428571428571428,10.501792408435312,30586.0
95280,0,0,1,0.0,,
94575,2,2,58,0.034482758620689655,0.16980771159146213,975.0
94558,2995,2998,54479,0.05497531158795132,432.4652765987633,63657.0
90630,3438,3492,38898,0.08838500694123091,6.171317273759896,49318.0
94280,0,0,1,0.0,,
93264,0,0,0,,,
95623,97,97,4199,0.02310073827101691,44.67784647932087,4844.0
90727,1,1,1,1.0,,
97885,0,0,1,0.0,316.47249760761764,1365.0
91207,932,940,7826,0.11909021211346793,1.6081894465018425,10438.0
95882,0,0,2,0.0,,
98563,0,0,5,0.0,420.5402747541751,7604.0
95960,18,18,1184,0.015202702702702704,41.73726386250584,540.0
97834,0,0,1,0.0,285.3557459869482,1395.0
90282,0,0,1,0.0,,
98903,0,0,7,0.0,192.48200954418076,19445.0
92291,0,0,5,0.0,,
97135,0,0,1,0.0,8.172158049244992,1190.0
92147,0,0,23,0.0,0.08703938659649678,148.0
96839,0,0,1,0.0,,
97232,1,1,49,0.02040816326530612,1.8981335623548643,15615.0
90523,0,0,1,0.0,,
92711,13,13,501,0.02594810379241517,,
95813,2,2,127,0.015748031496062992,,
96753,4,4,108,0.037037037037037035,44.141586565345385,28003.0
96034,3,3,298,0.010067114093959731,112.47616236174407,332.0
98851,0,0,2,0.0,150.45891785465648,4437.0
90253,0,0,1,0.0,,
95687,1941,1945,48831,0.03974933955888677,44.82838800390967,69390.0
90642,0,0,0,,,
94111,267,268,2283,0.11695137976346912,0.3311386146757522,4579.0
95656,11,11,490,0.022448979591836733,,
94506,3689,3707,20776,0.17756064690026954,18.667859487862206,27055.0
95119,1061,1066,8839,0.12003620319040616,4.255029570497312,10841.0
97520,2,2,112,0.017857142857142856,333.5209169432482,26512.0
