GEOID,NAMELSAD,COUNTYFP,TRACTCE,tract_area_sq_mi,station_count,total_evse,stations_per_sq_mi,evse_per_sq_mi,population,ev_vehicles_area_weighted,zev_vehicles_area_weighted,light_duty_vehicles_area_weighted,ev_vehicles_population_weighted,zev_vehicles_population_weighted,light_duty_vehicles_population_weighted,evse_per_1000_light_duty_vehicles_area_weighted,ev_share_light_duty_area_weighted,evse_per_1000_light_duty_vehicles_population_weighted,ev_share_light_duty_population_weighted,is_benchmark_20to100,is_above_standard_gt100,is_below_standard_lt20,predicted_target_evse_count,current_total_evse,model_gap_evse_all_tracts,application_group,planning_gap_evse_non_benchmark_only,planning_gap_bin
06009000221,Census Tract 2.21,9,221,65.32454960712903,0.0,0.0,0.0,0.0,6911,112.6610320454858,113.02619575941212,7543.045048641474,129.64184102606882,130.08000774582072,8710.483479554692,0.0,0.0149357495970114,0.0,0.0148834265434708,False,False,True,517.0,0.0,517.0,below_standard_gap_application,517.0,501-1000
06071002308,Census Tract 23.08,71,2308,1.7068570333843671,6.0,17.0,3.515232900381329,9.959826551080432,10143,482.6968625799699,484.0703553420683,7258.565874499722,567.8236984432014,569.4394158849747,8538.662750411406,2.3420604419563364,0.0665003074885283,1.9909440736701909,0.0665003074885283,False,False,True,528.0,17.0,511.0,below_standard_gap_application,511.0,501-1000
06019004212,Census Tract 42.12,19,4212,1.8369445756488376,2.0,10.0,1.0887644768996736,5.443822384498368,12016,143.71768710005344,143.76574022308483,5207.107191896736,242.55067282237496,242.64157362388607,8563.373152783517,1.9204521112148276,0.0276002935610209,1.167764130043721,0.0283241975439939,False,False,True,518.0,10.0,508.0,below_standard_gap_application,508.0,501-1000
06073013424,Census Tract 134.24,73,13424,1.1162487881936982,8.0,52.0,7.166861083849877,46.5845970450242,6464,252.13834594142295,252.3680544993271,2607.7138202423557,849.4263851552043,850.0901235983255,8667.973874134945,19.94083844490544,0.0966894235035306,5.999095146694769,0.0979959558588282,False,False,True,556.0,52.0,504.0,below_standard_gap_application,504.0,501-1000
06077003503,Census Tract 35.03,77,3503,1.091908524004784,2.0,18.0,1.8316552678466291,16.484897410619663,8989,49.93692746329823,50.090579547800694,1177.0774020118154,364.5058553356048,365.6274118135605,8591.870325459353,15.292112455166578,0.0424245061352362,2.0950036858287495,0.0424245061352362,False,False,True,520.0,18.0,502.0,below_standard_gap_application,502.0,501-1000
06073010005,Census Tract 100.05,73,10005,0.5812042390483982,0.0,0.0,0.0,0.0,6487,105.46515205157291,106.07127361508763,6796.441091690432,133.57081089240688,134.33845923086866,8607.64081916932,0.0,0.0155177026665497,0.0,0.0155177026665591,False,False,True,499.0,0.0,499.0,below_standard_gap_application,499.0,251-500
06037920339,Census Tract 9203.39,37,920339,13.179796607350475,8.0,23.0,0.6069896401541082,1.7450952154430608,10017,916.834793935722,918.4437580767318,5328.557773578489,1357.9024431243574,1360.4578399557215,8184.705249307511,4.316364948512876,0.1720605899183119,2.810119521646302,0.1659073114745636,False,False,True,519.0,23.0,496.0,below_standard_gap_application,496.0,251-500
06081613502,Census Tract 6135.02,81,613502,10.185568520235558,2.0,3.0,0.1963562461954501,0.2945343692931752,5806,486.5509395252592,487.7267575248987,5712.036710855196,698.7637441207696,700.3199761304654,8310.108929186705,0.5252067085456187,0.0851799391626132,0.3610060981828314,0.0840859909388885,False,False,True,485.0,3.0,482.0,below_standard_gap_application,482.0,251-500
06059042203,Census Tract 422.03,59,42203,4.333966312147294,1.0,2.0,0.2307355267615227,0.4614710535230455,9842,833.6923454493389,840.4913898199933,9962.218823097466,688.3330423367904,693.9466321966241,8225.245713671078,0.2007584891995132,0.0836854078648039,0.2431538302467761,0.0836854078648034,False,False,True,484.0,2.0,482.0,below_standard_gap_application,482.0,251-500
06037276101,Census Tract 2761.01,37,276101,0.1259940539809221,1.0,1.0,7.936882482973513,7.936882482973513,3441,193.59272950196052,193.9440349631908,1105.242111576551,1409.984818807489,1412.5434653453688,8049.757872822845,0.9047791334819568,0.1751586620471907,0.124227338983219,0.1751586620471907,False,False,True,479.0,1.0,478.0,below_standard_gap_application,478.0,251-500
