GEOID,NAMELSAD,COUNTYFP,TRACTCE,tract_area_sq_mi,station_count,total_evse,stations_per_sq_mi,evse_per_sq_mi,population,ev_vehicles_area_weighted,zev_vehicles_area_weighted,light_duty_vehicles_area_weighted,ev_vehicles_population_weighted,zev_vehicles_population_weighted,light_duty_vehicles_population_weighted,evse_per_1000_light_duty_vehicles_area_weighted,ev_share_light_duty_area_weighted,evse_per_1000_light_duty_vehicles_population_weighted,ev_share_light_duty_population_weighted,is_benchmark_20to100,predicted_target_evse_count,current_total_evse,model_gap_evse_all_tracts,application_group,planning_gap_evse_non_benchmark_only,planning_gap_bin
06059076103,Census Tract 761.03,59,76103,0.6238127120587733,0.0,0.0,0.0,0.0,9342,240.0047945505783,245.4884038979124,4654.993438515699,357.1770211588719,365.5288057315753,6922.587002861488,0.0,0.0515585677446425,0.0,0.0515958876372707,False,306.0,0.0,306.0,non_benchmark_application,306.0,251-500
06111007506,Census Tract 75.06,111,7506,8.664657164281104,0.0,0.0,0.0,0.0,7070,1256.712890966757,1261.8446586703428,17798.680985252464,487.9805831058338,489.97324428911577,6911.213204008893,0.0,0.0706070799295766,0.0,0.0706070799295813,False,305.0,0.0,305.0,non_benchmark_application,305.0,251-500
06095253501,Census Tract 2535.01,95,253501,148.4345265925711,0.0,0.0,0.0,0.0,6523,974.5481320669948,976.2284852867416,25550.59574205261,270.3236524216749,270.50061042933754,6973.132329501455,0.0,0.0381418946902685,0.0,0.0387664595547696,False,302.0,0.0,302.0,non_benchmark_application,302.0,251-500
06017031504,Census Tract 315.04,17,31504,22.888542055810255,0.0,0.0,0.0,0.0,6006,135.1288030677655,135.330042229398,6923.035310271695,143.84076981461487,144.072250701388,7008.143965310343,0.0,0.0195187222095018,0.0,0.0205248023623106,False,300.0,0.0,300.0,non_benchmark_application,300.0,251-500
06065042300,Census Tract 423,65,42300,3.786447318152484,0.0,0.0,0.0,0.0,10814,295.92061425629686,298.5036438331019,7612.99375910541,265.02473152520145,267.3094384599775,6855.730948581977,0.0,0.038870465892917,0.0,0.0386573997014889,False,299.0,0.0,299.0,non_benchmark_application,299.0,251-500
06059052429,Census Tract 524.29,59,52429,0.7887084421880035,0.0,0.0,0.0,0.0,9027,1022.4397585211076,1033.8861832917592,5220.373795847704,1294.437114009564,1308.3851683073583,6489.839914495544,0.0,0.1958556606299645,0.0,0.1994559389852347,False,299.0,0.0,299.0,non_benchmark_application,299.0,251-500
06067009404,Census Tract 94.04,67,9404,69.46160677227685,0.0,0.0,0.0,0.0,7235,238.56969894576844,239.88920610393149,6382.217326587631,269.9204313824219,271.49589690916196,6905.66930722797,0.0,0.0373803784386834,0.0,0.0390867878801992,False,297.0,0.0,297.0,non_benchmark_application,297.0,251-500
06073010013,Census Tract 100.13,73,10013,0.3461505189718424,0.0,0.0,0.0,0.0,5259,62.81237242170579,63.17336306780754,4047.788114739006,108.28563195358085,108.90796317170486,6978.199948824724,0.0,0.0155177026665477,0.0,0.0155177026665477,False,294.0,0.0,294.0,non_benchmark_application,294.0,251-500
06059074803,Census Tract 748.03,59,74803,0.6700330661640505,0.0,0.0,0.0,0.0,9393,180.99490364965973,187.50928839078452,5608.235033847959,224.8970408331958,233.02093730050632,6828.559179574773,0.0,0.0322730596270096,0.0,0.0329347721706646,False,292.0,0.0,292.0,non_benchmark_application,292.0,251-500
06065042008,Census Tract 420.08,65,42008,21.132324368752354,0.0,0.0,0.0,0.0,8929,1202.2075840748812,1214.2132204821078,31343.74843873056,242.88122741836324,245.26851635325755,6827.21611707736,0.0,0.0383555778730455,0.0,0.0355754414761865,False,292.0,0.0,292.0,non_benchmark_application,292.0,251-500
