GEOID,NAMELSAD,COUNTYFP,county_name,current_total_evse,predicted_target_evse_count,baseline_target_evse_count,planning_gap_evse_non_benchmark_only,baseline_gap_evse,target_difference_final_minus_baseline,gap_difference_final_minus_baseline
06067007903,Census Tract 79.03,67,Sacramento,0.0,93.0,17.0,93.0,17.0,76.0,76.0
06067005506,Census Tract 55.06,67,Sacramento,0.0,64.0,24.0,64.0,24.0,40.0,40.0
06065042514,Census Tract 425.14,65,Riverside,0.0,66.0,33.0,66.0,33.0,33.0,33.0
06085509102,Census Tract 5091.02,85,Santa Clara,28.0,104.0,9.0,76.0,0.0,95.0,76.0
06097154202,Census Tract 1542.02,97,Sonoma,6.0,339.0,2.0,333.0,0.0,337.0,333.0
06097150305,Census Tract 1503.05,97,Sonoma,6.0,111.0,16.0,105.0,10.0,95.0,95.0
06097151601,Census Tract 1516.01,97,Sonoma,0.0,65.0,4.0,65.0,4.0,61.0,61.0
06075031301,Census Tract 313.01,75,San Francisco,0.0,58.0,5.0,58.0,5.0,53.0,53.0
06075031302,Census Tract 313.02,75,San Francisco,0.0,71.0,4.0,71.0,4.0,67.0,67.0
06075032601,Census Tract 326.01,75,San Francisco,0.0,70.0,5.0,70.0,5.0,65.0,65.0
06065042515,Census Tract 425.15,65,Riverside,0.0,69.0,28.0,69.0,28.0,41.0,41.0
06065042517,Census Tract 425.17,65,Riverside,0.0,65.0,34.0,65.0,34.0,31.0,31.0
06065042513,Census Tract 425.13,65,Riverside,0.0,62.0,31.0,62.0,31.0,31.0,31.0
06065042518,Census Tract 425.18,65,Riverside,0.0,71.0,33.0,71.0,33.0,38.0,38.0
06065042519,Census Tract 425.19,65,Riverside,0.0,44.0,34.0,44.0,34.0,10.0,10.0
06085510002,Census Tract 5100.02,85,Santa Clara,2.0,106.0,12.0,104.0,10.0,94.0,94.0
06085510100,Census Tract 5101,85,Santa Clara,0.0,70.0,12.0,70.0,12.0,58.0,58.0
06075032902,Census Tract 329.02,75,San Francisco,4.0,64.0,5.0,60.0,1.0,59.0,59.0
06075047802,Census Tract 478.02,75,San Francisco,0.0,60.0,6.0,60.0,6.0,54.0,54.0
06085503312,Census Tract 5033.12,85,Santa Clara,8.0,68.0,4.0,60.0,0.0,64.0,60.0
06085507205,Census Tract 5072.05,85,Santa Clara,0.0,93.0,9.0,93.0,9.0,84.0,84.0
06085508800,Census Tract 5088,85,Santa Clara,3.0,80.0,20.0,77.0,17.0,60.0,60.0
06071008714,Census Tract 87.14,71,San Bernardino,0.0,91.0,20.0,91.0,20.0,71.0,71.0
06071007307,Census Tract 73.07,71,San Bernardino,4.0,86.0,7.0,82.0,3.0,79.0,79.0
06071006501,Census Tract 65.01,71,San Bernardino,1.0,93.0,22.0,92.0,21.0,71.0,71.0
06071006502,Census Tract 65.02,71,San Bernardino,0.0,61.0,26.0,61.0,26.0,35.0,35.0
06071006303,Census Tract 63.03,71,San Bernardino,0.0,88.0,30.0,88.0,30.0,58.0,58.0
06071005601,Census Tract 56.01,71,San Bernardino,0.0,70.0,30.0,70.0,30.0,40.0,40.0
06071005602,Census Tract 56.02,71,San Bernardino,0.0,58.0,42.0,58.0,42.0,16.0,16.0
06071002046,Census Tract 20.46,71,San Bernardino,0.0,203.0,17.0,203.0,17.0,186.0,186.0
06071002047,Census Tract 20.47,71,San Bernardino,20.0,80.0,25.0,60.0,5.0,55.0,55.0
06071002610,Census Tract 26.10,71,San Bernardino,0.0,71.0,37.0,71.0,37.0,34.0,34.0
06071002611,Census Tract 26.11,71,San Bernardino,0.0,93.0,16.0,93.0,16.0,77.0,77.0
06071002048,Census Tract 20.48,71,San Bernardino,0.0,92.0,26.0,92.0,26.0,66.0,66.0
06071002051,Census Tract 20.51,71,San Bernardino,1.0,94.0,27.0,93.0,26.0,67.0,67.0
06071002049,Census Tract 20.49,71,San Bernardino,0.0,66.0,49.0,66.0,49.0,17.0,17.0
06071002050,Census Tract 20.50,71,San Bernardino,0.0,114.0,29.0,114.0,29.0,85.0,85.0
06071002503,Census Tract 25.03,71,San Bernardino,0.0,92.0,29.0,92.0,29.0,63.0,63.0
06071002504,Census Tract 25.04,71,San Bernardino,0.0,76.0,29.0,76.0,29.0,47.0,47.0
06071002405,Census Tract 24.05,71,San Bernardino,0.0,118.0,27.0,118.0,27.0,91.0,91.0
06071001909,Census Tract 19.09,71,San Bernardino,0.0,63.0,12.0,63.0,12.0,51.0,51.0
06071000305,Census Tract 3.05,71,San Bernardino,0.0,121.0,44.0,121.0,44.0,77.0,77.0
06071000120,Census Tract 1.20,71,San Bernardino,0.0,320.0,17.0,320.0,17.0,303.0,303.0
06071011601,Census Tract 116.01,71,San Bernardino,0.0,141.0,8.0,141.0,8.0,133.0,133.0
06071009502,Census Tract 95.02,71,San Bernardino,0.0,65.0,18.0,65.0,18.0,47.0,47.0
06071001907,Census Tract 19.07,71,San Bernardino,20.0,1466.0,8.0,1446.0,0.0,1458.0,1446.0
06071011802,Census Tract 118.02,71,San Bernardino,4.0,54.0,4.0,50.0,0.0,50.0,50.0
06071009501,Census Tract 95.01,71,San Bernardino,14.0,57.0,23.0,43.0,9.0,34.0,34.0
06071009915,Census Tract 99.15,71,San Bernardino,0.0,75.0,14.0,75.0,14.0,61.0,61.0
06071009726,Census Tract 97.26,71,San Bernardino,0.0,66.0,13.0,66.0,13.0,53.0,53.0
06071009722,Census Tract 97.22,71,San Bernardino,0.0,75.0,15.0,75.0,15.0,60.0,60.0
06071009723,Census Tract 97.23,71,San Bernardino,0.0,130.0,11.0,130.0,11.0,119.0,119.0
06071009918,Census Tract 99.18,71,San Bernardino,8.0,56.0,22.0,48.0,14.0,34.0,34.0
06071009917,Census Tract 99.17,71,San Bernardino,24.0,119.0,18.0,95.0,0.0,101.0,95.0
06071009916,Census Tract 99.16,71,San Bernardino,4.0,93.0,16.0,89.0,12.0,77.0,77.0
06071010027,Census Tract 100.27,71,San Bernardino,0.0,80.0,19.0,80.0,19.0,61.0,61.0
06071010039,Census Tract 100.39,71,San Bernardino,8.0,57.0,18.0,49.0,10.0,39.0,39.0
06071009725,Census Tract 97.25,71,San Bernardino,0.0,98.0,11.0,98.0,11.0,87.0,87.0
06071009727,Census Tract 97.27,71,San Bernardino,0.0,101.0,21.0,101.0,21.0,80.0,80.0
06071010036,Census Tract 100.36,71,San Bernardino,5.0,86.0,16.0,81.0,11.0,70.0,70.0
